"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CFZ2CF8J","book","1928","Ներսեսի Շնորհալի [Nersesi Šnorhali]","Տն. Ներսեսի Շնորհալւոյ հայոց Կաթողիկոսի Բանք չափաւ [Verses by Lord Nerses Shorhali, Kat'oghikos of the Armenians","","","","","https://www.opendata.uni-halle.de/explore?bitstream_id=fda24932-e522-47ae-9fc6-2d328a58a1d6&handle=1981185920/118378&provider=iiif-image","","1928","2026-01-30 12:22:19","2026-02-02 01:21:02","","","","","","","","","Ընտիր մատենագիրք","","","","Ի Սուրբն Ղազար","Վենետիկ [Venice]","հայերեն [Armenian]","","","","","","","","","","","Medieval Armenian Literature; Middle Ages; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Nersesi Shnorhalwoy hayotsʻ Katʻoghikosi Bankʻ chʻapʻaw; Nersesi Šnorhalwoy hayoc῾ Kat῾ołikosi Bank῾ č῾ap῾aw; Poetry; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RS8Z3X5F","book","1971","Գևորգյան [Gevorgyan], Վ.; Մանուկյան [Manukyan], Գ.","Արիստակես Լաստիվերցի. Պատմություն [Aristakes Lastivertc‘i, History]","","","","","","","1971","2026-01-30 12:22:19","2026-02-02 01:19:50","","","","","","","","","","","","","""Հայաստան"" Հրատարակչություն","Երեւան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","http://worldcat.org","","","","","","Bagratid Armenia; Historiography; Medieval Armenia; Primary Sources [Grabar] - Modern Armenian translation; Saljuqs (Seljuks, Seljuqs); XI century","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHCPR76Z","journalArticle","1928","Ներսեսի Շնորհալի [Nersesi Šnorhali]","*Ներսես  Շնորհալի, Գանձ Փոխման Աստուածածնին [Nersēs Šnorhali, Hymn on the Dormition of the God-Bearer]","Հայոց Կաթողիկոսի Բանք Չափաի","","","","","","1928","2026-01-30 12:22:19","2026-02-02 01:20:59","","528-535","","","","","","","","","","","","","հայերեն [Armenian]","","","","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U589L6ZK","book","1977","Մանուկյան [Manukyan], Գուրգեն Մ․[Gurgen M.]","Արիստակես Լաստիվերցի [Aristakes Lastiverc'i]","","","","","","","1977","2026-01-30 12:22:19","2026-02-02 01:20:36","","","","","","","","","","","","","Երեվանի Համալսարանի Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Aristakes Lastivertc'i [Aristakes of Lastivert]; Greater Armenia; Historiography; Middle Ages; Saljuqs (Seljuks, Seljuqs); XI Century","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQ3PQTL6","book","1871","Ներսեսի Շնորհալի [Nersesi Šnorhali]","Ընդհանրական թուղթք սրբոյն Ներսիսի Շնորհալւոյ [Encyclical Letters of Nerses Šnorhali]","","","","","","","1871","2026-01-30 12:22:19","2026-02-02 01:20:55","","","","","","","","","","","","","ի Տպարանի Առաքելական Աթոռոյ Սրբոց Յակովբեանց","Յեղուսաղէմ [Jerusalem]","հայերեն [Armenian]","","","https://books.google.am/books?id=2glcAAAAcAAJ&printsec=frontcover#v=onepage&q&f=false","","","","","","","","Armenian Cilicia; Byzantine-Armenian Relations; Ecumenical Dialogue; Letters; Medieval Armenia; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Orthopraxy; Primary Sources [Grabar]; Syriac-Armenian Relations; Theology; XII century","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTC2MQ5E","book","1977","","Ներսեսի Շնորհալի (հոդվածների ժողովածու) [Nersesi Šnorhali (Collection of articles)]","","","","","","","1977","2026-01-30 12:22:19","2026-02-02 01:20:05","","","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","http://worldcat.org","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","Խաչիկյան [Xač'ikyan], Լ. Ս. [L. S.]; Մկրյան [Mkryan], Մ. Մ. [M. M.]; Նալբանդյան [Nalbandyan], Վ. Ս. [V. S.]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2E7ZN45","book","1973","Ներսեսի Շնորհալի [Nersesi Šnorhali]","Ներսես Շնորհալի, Ողբ Եդեսիոյ [ Nerses Shnorhali, Lament on Edessa]","","","","","","","1973","2026-01-30 12:22:19","2026-02-02 01:21:06","","","","","","","","","","","","","ՀՍՍՀ ԳԱ Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","http://worldcat.org","","","","","","Armenian Literature; Edessa; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Poetry; Saljuqs (Seljuks, Seljuqs); XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","Մկրտչյան [Mkrtčʻyan], Մանիկ Սիմոն [Manik Simon]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6JD3LVP","journalArticle","1996","Անանեան [Ananean], Պօղոս [Pôłos]","Ներսես Շնորհալի: Միջեկեղեցական Յարաբերութիիններ [Nerses Šnorhali: Inter-Ecclesiastical Relations]","Բազմավեպ 154","","","","https://arar.sci.am/dlibra/publication/301672/edition/276778/content","","1996","2026-01-30 12:22:19","2026-02-02 01:19:43","","201-229","","","","","","","","","","","","","հայերեն [Armenian]","","","","","","","","","","","Armenia and the Crusades; Armenian Church; Armenian Cilicia; Ecumenical Dialogue; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Nerses Šnorhali: Miǰekełec῾akan Yaraberowt῾iinner; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI7V7QDY","book","1991","Ղազարյան [Łazaryan], Վիգեն [Vigen]; Բոզոյան [Bozoyan], Ազատ [Azat]; Մովսես [Movses], Հակոբ [Hakob]","Ներսես Շնորհալի. Հիսուս, Որդի [Nerses Shnorhali, Jesus, Son]","","5-8079-0313-7","","","http://books.google.com/books?id=cQtkAAAAMAAJ","","1991","2026-01-30 12:22:19","2026-02-02 01:20:19","","","","","","","","","","","","","Ապոլոն Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Primary Sources [Grabar] + Modern Armenian translation; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJUPQYHN","book","1963","Յուզբաշյան [Yuzbašian], Կարեն [Karen N.]","Պատմութիւն Արիստակիսի Լաստիվերտցւոյ [The History of Aristakes Lastivertc'i]","","","","","","","1963","2026-01-30 12:22:19","2026-02-02 01:20:44","","","","","","","","","","","","","Հայկական ՍՍՌ Գիտությունների Ակադեմիայի Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Aristakes Lastivertc'i [Aristakes of Lastivert]; Historiography; Medieval Armenia; Seljuks; XI century","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2C45VUZR","book","1981","","Մովսես Խորենացի. Հայոց Պատմություն [Movses Xorenac'i, History of the Armenians]","","","","","","","1981","2026-01-30 12:22:19","2026-02-02 01:20:32","","","","","","","","","","","","","Երեվանի Համալսարանի Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Historiography; History; Movsēs Xorenac'i [Moses Khorenatsi, Moses of Khorene]; VIII Century","","Մալխասյան [Malxasyan], Ստեփան","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C35TAWVP","book","1978","Thomson, Robert W.","Moses Khorenatsi. History of the Armenians","","0-674-39571-9","","","","","1978","2026-01-30 12:22:19","2026-01-30 12:22:19","","","","","","","","","","","","","Harvard University  Press","Cambridge, Massassuchetts /  London","English","","","/z-wcorg/","","http://worldcat.org","","","","","","VIII Century; Historiography; Primary Sources [Grabar] - English translation; Eusebius of Caesarea; Mar Aba Catina; Movsēs Xorenac'i [Moses Khorenatsi, Moses of Khorene]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFRPLTZH","book","1865","","Մովսէսի Խորենացւոյ Մատենագրութիւնք [Bibliography of Movses Xorenac'i]","","","","","http://greenstone.flib.sci.am/gsdl/collect/haygirq/book/matenagrutyunq1865.pdf","","1865","2026-01-30 12:22:19","2026-01-30 12:22:19","","","","","","","","","Մատենագրութիւնք նախնեաց","","","","Ի տպարանի սրբոյ Ղազարու","Վենետիկ [Venice]","Armenian","","","","","","","","","","","Armenian History; V Century; Late Antiquity; VIII Century; Historiography; Armenian Geography; Primary Sources [Grabar]; Ašxarhac’oyc’; Sahak; Movsēs Xorenac'i [Moses Khorenatsi, Moses of Khorene]","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5RBRDD4","book","1865","","Սրբոյն Հօրն մերոյ Մովսէսի Խորենացւոյ Մատենագրութիինք [Bibliography of our holy father Movses Xorenac'i]","","","","","https://eap.bl.uk/archive-file/EAP180-1-2-101#?xywh=-262%2C-159%2C4794%2C3164","","1865","2026-01-30 12:22:19","2026-01-30 12:22:19","","","","","","","","","","Մատենագրութիւնք Նախնեաց","","","ի տպարանի սրբոյն Ղազարու","Վենետիկ [Venice]","","","","","","","","","","","","Vaspurakan; Hagiography; VIII Century; Primary Sources [Grabar]; Relics; Hṙip‘simē; Hṙip‘simeank‘; Movsēs Xorenac'i [Moses Khorenatsi, Moses of Khorene]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGAVG76B","bookSection","1977","Համբարձումյան [Hambarjowmyan], Վ. Հ. [V. H.]","Հայ մշակույթի անմար աստղը [The eternal star of Armenian culture]","Ներսեսի Շնորհալի (հոդվածների ժողովածու) [Nersesi Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n5/mode/2up","","1977","2026-02-01 23:38:06","2026-02-02 01:20:15","","6-8","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIBIWZ7T","bookSection","1977","Նալբանդյան [Nalbandyan], Վ. Ս. [V. S.]","Միջնադարի մեծ բանաստեղծն ու մտածողը [The great poet and thinker of the Middle Ages]","Ներսեսի Շնորհալի (հոդվածների ժողովածու) [Nersesi Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n9/mode/2up","","1977","2026-02-02 00:11:25","2026-02-02 01:20:52","","9-36","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երեվան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
